category,movie_id,year_ceremony,oscar_nominated,oscar_won,bafta_nominated,bafta_won,gg_nominated,gg_won,sag_nominated,sag_won,imdb_rating,rotten_tomatoes,pga_won,dga_won
1,1928352,1928,1,1,0,0,0,0,0,0,7.9,95.0,0,0
1,1928367,1928,1,0,0,0,0,0,0,0,7.6,85.0,0,0
1,1928369,1928,1,0,0,0,0,0,0,0,6.1,85.0,0,0
1,1928406,1928,1,1,0,0,0,0,0,0,6.8,88.0,0,0
2,1928445,1928,1,1,0,0,0,0,0,0,7.5,100.0,0,0
2,1928450,1928,1,0,0,0,0,0,0,0,5.5,85.0,0,0
2,1928666,1928,1,0,0,0,0,0,0,0,7.2,83.0,0,0
2,1928688,1928,1,1,0,0,0,0,0,0,7.3,79.0,0,0
2,1928694,1928,1,1,0,0,0,0,0,0,8.1,98.0,0,0
4,1928445,1928,1,0,0,0,0,0,0,0,7.5,100.0,0,0
4,1929068,1928,1,0,0,0,0,0,0,0,6.6,100.0,0,0
4,1929088,1928,1,1,0,0,0,0,0,0,7.5,94.0,0,0
1,1929026,1929,1,0,0,0,0,0,0,0,5.7,56.0,0,0
1,1929157,1929,1,1,0,0,0,0,0,0,5.5,56.0,0,0
1,1929370,1929,1,0,0,0,0,0,0,0,7.2,62.0,0,0
1,1929403,1929,1,0,0,0,0,0,0,0,6.0,85.0,0,0
1,1929412,1929,1,0,0,0,0,0,0,0,6.5,70.0,0,0
2,1929510,1929,1,1,0,0,0,0,0,0,5.5,44.0,0,0
2,1929591,1929,1,0,0,0,0,0,0,0,6.9,50.0,0,0
2,1929704,1929,1,0,0,0,0,0,0,0,6.9,85.0,0,0
2,1929710,1929,1,0,0,0,0,0,0,0,5.6,42.0,0,0
2,1929719,1929,1,0,0,0,0,0,0,0,6.2,85.0,0,0
2,1929741,1929,1,0,0,0,0,0,0,0,7.5,100.0,0,0
3,1929866,1929,1,0,0,0,0,0,0,0,6.2,85.0,0,0
3,1929157,1929,1,0,0,0,0,0,0,0,5.5,56.0,0,0
3,1929591,1929,1,0,0,0,0,0,0,0,6.9,50.0,0,0
3,1929710,1929,1,0,0,0,0,0,0,0,5.6,42.0,0,0
3,1929719,1929,1,1,0,0,0,0,0,0,6.2,85.0,0,0
3,1929370,1929,1,0,0,0,0,0,0,0,7.2,62.0,0,0
3,1929970,1929,1,0,0,0,0,0,0,0,6.1,85.0,0,0
4,1929026,1929,1,0,0,0,0,0,0,0,5.7,56.0,0,0
4,1930019,1929,1,0,0,0,0,0,0,0,5.4,43.0,0,0
4,1929157,1929,1,0,0,0,0,0,0,0,5.5,56.0,0,0
4,1929710,1929,1,1,0,0,0,0,0,0,5.6,42.0,0,0
4,1929370,1929,1,0,0,0,0,0,0,0,7.2,62.0,0,0
1,1930067,1930,1,0,0,0,0,0,0,0,6.3,83.0,0,0
1,1930087,1930,1,0,0,0,0,0,0,0,3.7,25.0,0,0
1,1930100,1930,1,1,0,0,0,0,0,0,6.1,83.0,0,0
1,1930299,1930,1,0,0,0,0,0,0,0,7.1,75.0,0,0
1,1930300,1930,1,0,0,0,0,0,0,0,5.6,85.0,0,0
1,1930334,1930,1,0,0,0,0,0,0,0,5.4,85.0,0,0
1,1930359,1930,1,0,0,0,0,0,0,0,7.0,100.0,0,0
1,1930385,1930,1,0,0,0,0,0,0,0,5.5,79.0,0,0
2,1930466,1930,1,0,0,0,0,0,0,0,6.6,85.0,0,0
2,1930661,1930,1,0,0,0,0,0,0,0,5.2,49.0,0,0
2,1930668,1930,1,0,0,0,0,0,0,0,5.4,85.0,0,0
2,1930718,1930,1,0,0,0,0,0,0,0,5.9,85.0,0,0
2,1930720,1930,1,1,0,0,0,0,0,0,6.7,78.0,0,0
2,1930772,1930,1,0,0,0,0,0,0,0,7.0,85.0,0,0
2,1930782,1930,1,0,0,0,0,0,0,0,5.8,85.0,0,0
3,1930822,1930,1,1,0,0,0,0,0,0,7.8,90.0,0,0
3,1930466,1930,1,0,0,0,0,0,0,0,6.6,85.0,0,0
3,1930879,1930,1,0,0,0,0,0,0,0,6.7,86.0,0,0
3,1930661,1930,1,0,0,0,0,0,0,0,5.2,49.0,0,0
3,1930720,1930,1,0,0,0,0,0,0,0,6.7,78.0,0,0
3,1930359,1930,1,0,0,0,0,0,0,0,7.0,100.0,0,0
4,1930822,1930,1,1,0,0,0,0,0,0,7.8,90.0,0,0
4,1930100,1930,1,0,0,0,0,0,0,0,6.1,83.0,0,0
4,1930299,1930,1,0,0,0,0,0,0,0,7.1,75.0,0,0
4,1930720,1930,1,0,0,0,0,0,0,0,6.7,78.0,0,0
4,1930359,1930,1,0,0,0,0,0,0,0,7.0,100.0,0,0
1,1931008,1931,1,1,0,0,0,0,0,0,6.6,85.0,0,0
1,1931082,1931,1,0,0,0,0,0,0,0,5.8,52.0,0,0
1,1931273,1931,1,0,0,0,0,0,0,0,6.3,86.0,0,0
1,1931325,1931,1,0,0,0,0,0,0,0,7.3,57.0,0,0
1,1931386,1931,1,0,0,0,0,0,0,0,6.1,85.0,0,0
2,1931008,1931,1,0,0,0,0,0,0,0,6.6,85.0,0,0
2,1931082,1931,1,0,0,0,0,0,0,0,5.8,52.0,0,0
2,1931552,1931,1,0,0,0,0,0,0,0,6.3,85.0,0,0
2,1931601,1931,1,1,0,0,0,0,0,0,6.7,85.0,0,0
2,1931609,1931,1,0,0,0,0,0,0,0,7.0,83.0,0,0
3,1931008,1931,1,0,0,0,0,0,0,0,6.6,85.0,0,0
3,1931082,1931,1,0,0,0,0,0,0,0,5.8,52.0,0,0
3,1931609,1931,1,0,0,0,0,0,0,0,7.0,83.0,0,0
3,1931273,1931,1,1,0,0,0,0,0,0,6.3,86.0,0,0
3,1931325,1931,1,0,0,0,0,0,0,0,7.3,57.0,0,0
4,1931082,1931,1,1,0,0,0,0,0,0,5.8,52.0,0,0
4,1932003,1931,1,0,0,0,0,0,0,0,5.7,90.0,0,0
4,1931273,1931,1,0,0,0,0,0,0,0,6.3,86.0,0,0
4,1931325,1931,1,0,0,0,0,0,0,0,7.3,57.0,0,0
4,1932083,1931,1,0,0,0,0,0,0,0,6.1,100.0,0,0
1,1932104,1932,1,1,0,0,0,0,0,0,7.6,91.0,0,0
1,1932305,1932,1,1,0,0,0,0,0,0,7.3,96.0,0,0
1,1932335,1932,1,0,0,0,0,0,0,0,6.4,85.0,0,0
2,1932527,1932,1,0,0,0,0,0,0,0,7.0,85.0,0,0
2,1932335,1932,1,0,0,0,0,0,0,0,6.4,85.0,0,0
2,1932762,1932,1,1,0,0,0,0,0,0,6.6,85.0,0,0
3,1932835,1932,1,1,0,0,0,0,0,0,6.4,85.0,0,0
3,1932917,1932,1,0,0,0,0,0,0,0,7.3,96.0,0,0
3,1932305,1932,1,0,0,0,0,0,0,0,7.3,96.0,0,0
4,1932989,1932,1,0,0,0,0,0,0,0,6.2,89.0,0,0
4,1932835,1932,1,0,0,0,0,0,0,0,6.4,85.0,0,0
4,1933006,1932,1,0,0,0,0,0,0,0,7.3,91.0,0,0
4,1933012,1932,1,1,0,0,0,0,0,0,7.3,87.0,0,0
4,1933041,1932,1,0,0,0,0,0,0,0,7.0,86.0,0,0
4,1932917,1932,1,0,0,0,0,0,0,0,7.3,96.0,0,0
4,1932305,1932,1,0,0,0,0,0,0,0,7.3,96.0,0,0
4,1933072,1932,1,0,0,0,0,0,0,0,7.1,88.0,0,0
1,1933051,1933,1,0,0,0,0,0,0,0,7.9,85.0,0,0
1,1933155,1933,1,0,0,0,0,0,0,0,8.2,96.0,0,0
1,1933379,1933,1,1,0,0,0,0,0,0,7.0,94.0,0,0
2,1933499,1933,1,0,0,0,0,0,0,0,5.8,64.0,0,0
2,1933578,1933,1,0,0,0,0,0,0,0,7.4,100.0,0,0
2,1933608,1933,1,1,0,0,0,0,0,0,6.5,57.0,0,0
3,1933499,1933,1,1,0,0,0,0,0,0,5.8,64.0,0,0
3,1933578,1933,1,0,0,0,0,0,0,0,7.4,100.0,0,0
3,1933582,1933,1,0,0,0,0,0,0,0,7.8,95.0,0,0
4,1933975,1933,1,0,0,0,0,0,0,0,7.3,92.0,0,0
4,1933976,1933,1,0,0,0,0,0,0,0,6.4,88.0,0,0
4,1933499,1933,1,1,0,0,0,0,0,0,5.8,64.0,0,0
4,1933155,1933,1,0,0,0,0,0,0,0,8.2,96.0,0,0
4,1933578,1933,1,0,0,0,0,0,0,0,7.4,100.0,0,0
4,1933582,1933,1,0,0,0,0,0,0,0,7.8,95.0,0,0
4,1934048,1933,1,0,0,0,0,0,0,0,6.3,93.0,0,0
4,1934049,1933,1,0,0,0,0,0,0,0,6.9,80.0,0,0
4,1934050,1933,1,0,0,0,0,0,0,0,6.7,100.0,0,0
4,1933379,1933,1,0,0,0,0,0,0,0,7.0,94.0,0,0
1,1935165,1935,1,1,0,0,0,0,0,0,8.1,98.0,0,0
1,1935290,1935,1,0,0,0,0,0,0,0,6.0,80.0,0,0
1,1935401,1935,1,0,0,0,0,0,0,0,7.9,98.0,0,0
2,1935165,1935,1,1,0,0,0,0,0,0,8.1,98.0,0,0
2,1935629,1935,1,0,0,0,0,0,0,0,7.0,87.0,0,0
2,1935630,1935,1,0,0,0,0,0,0,0,5.6,63.0,0,0
