movie_id,category,year_ceremony,actual,predicted,probability
2005246,1,2005,1,1,1.52
2005199,2,2005,1,1,0.7502517662891552
2005199,3,2005,1,1,1.9621984057756208
2005295,4,2005,0,1,1.545112084812107
2006070,1,2006,1,1,1.5
2006430,2,2006,1,1,0.7769220573585139
2006065,3,2006,1,1,1.9113059208974645
2006065,4,2006,0,1,1.7451843297262861
2007354,1,2007,1,1,1.5099999999999998
2007753,2,2007,1,1,0.6578882278909571
2007934,3,2007,1,1,1.9574684119167198
2008033,4,2007,0,1,1.35700863501938
2008410,1,2008,1,1,1.5699999999999998
2008470,2,2008,0,1,0.7911802644984075
2008906,3,2008,1,1,1.9520005537794836
2008906,4,2008,1,1,1.5775892345047369
2009198,1,2009,1,1,1.5
2009521,2,2009,0,1,0.7911802644984075
2009920,3,2009,1,1,1.9419683287094092
2009920,4,2009,1,1,1.737784986747292
2010090,1,2010,1,1,1.5
2010706,2,2010,1,1,0.7926838404729954
2010341,3,2010,1,1,1.9254156513652285
2010341,4,2010,1,1,1.545112084812107
2011350,1,2011,1,1,1.5499999999999998
2011476,2,2011,1,1,0.6839019763900049
2011350,3,2011,1,1,1.9158745493899296
2011350,4,2011,1,1,1.737784986747292
2012294,1,2012,1,1,1.5299999999999998
2012734,2,2012,0,1,0.7502517662891552
2012294,3,2012,1,1,1.915304821626342
2012294,4,2012,1,1,1.7916923940990443
2013184,1,2013,1,1,1.5
2013271,2,2013,1,1,0.8060372039363622
2013460,3,2013,0,0,0.43597582208582325
2013988,4,2013,1,1,1.7451843297262861
2014092,1,2014,1,1,1.54
2014478,2,2014,1,1,0.6578882278909571
2014545,3,2014,1,1,1.9113059208974645
2014003,4,2014,1,1,1.79381041225102
2015400,1,2015,1,1,1.52
2015687,2,2015,1,1,0.7911802644984075
2015054,3,2015,1,1,1.9433172603887925
2015054,4,2015,1,1,1.0789516580898046
2016383,1,2016,1,1,1.5499999999999998
2016663,2,2016,1,1,0.7502517662891552
2016383,3,2016,1,1,1.9419683287094092
2016930,4,2016,0,1,1.35700863501938
2017114,1,2017,0,1,1.5
2017175,2,2017,1,1,0.6839019763900049
2017175,3,2017,1,1,1.9419683287094092
2017175,4,2017,0,1,1.737784986747292
2018095,1,2018,1,1,1.5
2018786,2,2018,1,1,0.7502517662891552
2018760,3,2018,1,1,3.512665654339532
2018760,4,2018,1,1,1.0881142591342863
2019059,1,2019,1,1,1.54
2019780,2,2019,0,1,0.5479054785754665
2019659,3,2019,1,1,3.7194877299635842
2019139,4,2019,1,1,1.5775892345047369
2020169,1,2020,1,1,1.58
2020569,2,2020,1,1,0.5440101971237054
2020815,3,2020,0,1,3.8892355087877193
2020815,4,2020,0,1,1.835572113027786
2021189,1,2021,0,1,1.5
2021189,2,2021,0,1,0.5832554384543044
2021624,3,2021,1,1,1.866642208775339
2021624,4,2021,1,1,1.6163963716766754
20214,1,2022,1,1,1.5
20216,2,2022,1,1,0.653204826866622
20212,3,2022,1,1,3.6182964419361756
202114,4,2022,1,1,1.4036113573224647
20223,1,2023,1,1,1.5099999999999998
202210,2,2023,1,1,0.8597812209633053
202210,3,2023,1,1,3.6732625742898324
202210,4,2023,1,1,1.5099525882870501
20234,1,2024,1,1,1.58
20239,2,2024,1,1,0.7764057168325594
20234,3,2024,1,1,3.8911159189296867
20234,4,2024,1,1,1.9136202169959209
20242,1,2025,0,1,1.3199999999999998
20248,2,2025,1,1,0.6312524275514614
20248,3,2025,1,1,3.301552676625103
20248,4,2025,1,0,0.7702151474673133
